name,state,population
Lafayette,Louisiana,121467
Arvada,Colorado,121414
Independence,Missouri,120922
Billings,Montana,120864
Fairfield,California,120768
Hartford,Connecticut,119669
Ann Arbor,Michigan,119381
Broken Arrow,Oklahoma,119194
Berkeley,California,118962
Cambridge,Massachusetts,118214
Richardson,Texas,117435
Antioch,California,117096
High Point,North Carolina,116926
Clearwater,Florida,116850
League City,Texas,116320
Odessa,Texas,115743
Manchester,New Hampshire,115474
Evansville,Indiana,115332
Waterbury,Connecticut,114990
West Jordan,Utah,114908
Las Cruces,New Mexico,114892
Westminster,Colorado,114875
Lowell,Massachusetts,114296
Nampa,Idaho,114268
Richmond,California,114106
Pompano Beach,Florida,113619
Carlsbad,California,113495
Menifee,California,113433
Provo,Utah,113343
Elgin,Illinois,113310
Greeley,Colorado,112609
Springfield,Illinois,112544
Beaumont,Texas,112193
Lansing,Michigan,112115
Murrieta,California,111878
Goodyear,Arizona,111805
Allen,Texas,111620
Tuscaloosa,Alabama,111338
Everett,Washington,111180
Pueblo,Colorado,111077
New Braunfels,Texas,110958
South Fulton,Georgia,110920
Miami Gardens,Florida,110717
Gresham,Oregon,110685
Temecula,California,110682
Rio Rancho,New Mexico,110660
Peoria,Illinois,110460
Tyler,Texas,110327
Sparks,Nevada,110323
Concord,North Carolina,110119
Santa Maria,California,109987
San Buenaventura,California,109058
Buckeye,Arizona,108909
Downey,California,108816
Sugar Land,Texas,108515
Costa Mesa,California,108354
Conroe,Texas,108248
Spokane Valley,Washington,108235
Davie,Florida,107799
Hillsboro,Oregon,107730
Jurupa Valley,California,107321
Centennial,Colorado,106883
Boulder,Colorado,105898
Dearborn,Michigan,105811
Edinburg,Texas,105799
Sandy Springs,Georgia,105793
Green Bay,Wisconsin,105744
West Covina,California,105617
Brockton,Massachusetts,104890
St. George,Utah,104578
Bend,Oregon,104557
Renton,Washington,104491
Lee's Summit,Missouri,104184
Fishers,Indiana,104094
El Monte,California,103794
South Bend,Indiana,103395
Rialto,California,103391
El Cajon,California,102991
Inglewood,California,102865
Burbank,California,102755
Wichita Falls,Texas,102691
Vacaville,California,102526
Carmel,Indiana,102296
Palm Coast,Florida,102113
Fayetteville,Arkansas,101680
Quincy,Massachusetts,101597
San Mateo,California,101327
Chico,California,101301
Lynn,Massachusetts,101241
Albany,New York,101228
Yuma,Arizona,100858
New Bedford,Massachusetts,100695
Suffolk,Virginia,100659
Hesperia,California,100633
Davenport,Iowa,100354
Boca Raton,Florida,99974
Daly City,California,99833
San Angelo,Texas,99262
Deltona,Florida,98739
Longmont,Colorado,98630
Vista,California,98344
Kenosha,Wisconsin,98211
Edmond,Oklahoma,98103
Norwalk,California,98078
Tracy,California,98010
Federal Way,Washington,97701
Fort Myers,Florida,97372
Roanoke,Virginia,97171
Beaverton,Oregon,96945
Sunrise,Florida,96808
Portsmouth,Virginia,96793
Yakima,Washington,96750
Plantation,Florida,96548
Georgetown,Texas,96312
Lawrence,Kansas,96207
Orem,Utah,95519
Mount Pleasant,South Carolina,95232
Asheville,North Carolina,95056
Reading,Pennsylvania,94903
Bellingham,Washington,94720
San Marcos,California,94188
O'Fallon,Missouri,94074
Fall River,Massachusetts,93840
Merced,California,93692
Avondale,Arizona,93545
Chino,California,93114
Temple,Texas,93095
Indio,California,93057
Erie,Pennsylvania,92957
Redding,California,92727
Norwalk,Connecticut,92458
Hoover,Alabama,92448
Hemet,California,92368
Livonia,Michigan,92185
Sandy,Utah,91943
Roswell,Georgia,91706
Kirkland,Washington,91194
Carson,California,91139
Manteca,California,91059
Nashua,New Hampshire,91003
Compton,California,90986
Mission Viejo,California,90624
Lawton,Oklahoma,90245
Lehi,Utah,90227
South Gate,California,90070
Greenville,North Carolina,90053
Santa Monica,California,89922
Fort Smith,Arkansas,89770
Trenton,New Jersey,89620
Bryan,Texas,89615
Champaign,Illinois,89189
Santa Fe,New Mexico,89167
North Port,Florida,88934
Westminster,California,88729
Franklin,Tennessee,88558
Clifton,New Jersey,88461
Newton,Massachusetts,88415
Springdale,Arkansas,88224
Lawrence,Massachusetts,88172
Duluth,Minnesota,87680
Waukegan,Illinois,87642
Bloomington,Minnesota,87398
Troy,Michigan,87339
Deerfield Beach,Florida,87325
Mission,Texas,87292
Ogden,Utah,87267
Melbourne,Florida,86960
Santa Barbara,California,86499
Citrus Heights,California,86239
Danbury,Connecticut,86124
Lake Forest,California,85840
Frederick,Maryland,85793
San Leandro,California,85784
Sioux City,Iowa,85727
Kennewick,Washington,85158
Medford,Oregon,85098
San Ramon,California,84929
Folsom,California,84782
Warner Robins,Georgia,84537
South Jordan,Utah,84528
Whittier,California,84143
Baytown,Texas,84067
Gastonia,North Carolina,83942
Auburn,Washington,83870
New Rochelle,New York,83742
Layton,Utah,83516
Hawthorne,California,83364
Longview,Texas,83236
Warwick,Rhode Island,82999
Livermore,California,82908
Newport Beach,California,82637
Cranston,Rhode Island,82635
Rancho Cordova,California,82605
Westland,Michigan,82574
Farmington Hills,Michigan,82528
Daytona Beach,Florida,82485
Largo,Florida,82248
Auburn,Alabama,82025
Brooklyn Park,Minnesota,82017
Buena Park,California,81958
Mountain View,California,81785
Homestead,Florida,81659
Castle Rock,Colorado,81415
Kissimmee,Florida,81269
Boynton Beach,Florida,81267
Johns Creek,Georgia,81108
Cicero,Illinois,81004
Redwood City,California,80996
Jonesboro,Arkansas,80650
Perris,California,80603
Pharr,Texas,80410
Somerville,Massachusetts,80407
Redmond,Washington,80280
Leander,Texas,80067
Pasco,Washington,80038
Alhambra,California,79776
Flint,Michigan,79661
Lake Charles,Louisiana,79633
Miami Beach,Florida,79607
Woodbury,Minnesota,79538
Lynchburg,Virginia,79535
Flower Mound,Texas,79445
Rapid City,South Dakota,79404
Doral,Florida,79359
Loveland,Colorado,79352
Parma,Ohio,78951
Bloomington,Indiana,78840
Upland,California,78699
Bloomington,Illinois,78587
Mansfield,Texas,78542
Bethlehem,Pennsylvania,78300
Lakewood,California,78135
Missoula,Montana,77757
Tustin,California,77704
Plymouth,Minnesota,77648
Cedar Park,Texas,77516
Napa,California,77492
Wyoming,Michigan,77451
Milpitas,California,77321
Chino Hills,California,77212
Broomfield,Colorado,76860
Missouri City,Texas,76773
Racine,Wisconsin,76602
Flagstaff,Arizona,76586
Queen Creek,Arizona,76570
Lakeville,Minnesota,76243
Bowling Green,Kentucky,76212
Hammond,Indiana,76193
Rochester Hills,Michigan,76002
Scranton,Pennsylvania,75805
Pittsburg,California,75803
Schaumburg,Illinois,75750
Southfield,Michigan,75687
Iowa City,Iowa,75678
Rock Hill,South Carolina,75654
Alameda,California,75353
Pawtucket,Rhode Island,75321
Bellflower,California,75122
Bismarck,North Dakota,75092
Evanston,Illinois,75070
Apple Valley,California,75036
Appleton,Wisconsin,74719
Pleasanton,California,74653
Arlington Heights,Illinois,74495
Ankeny,Iowa,74458
Bolingbrook,Illinois,74088
New Britain,Connecticut,74080
Rogers,Arkansas,74035
Lauderhill,Florida,73974
Noblesville,Indiana,73916
Blaine,Minnesota,73774
Rocklin,California,73472
Johnson City,Tennessee,73337
Kalamazoo,Michigan,73126
Lake Elsinore,California,73028
Marysville,Washington,72916
Jacksonville,North Carolina,72879
Greenville,South Carolina,72824
Gulfport,Mississippi,72823
Redlands,California,72556
Tamarac,Florida,72372
Apex,North Carolina,72225
West Des Moines,Iowa,72205
Turlock,California,72100
Framingham,Massachusetts,71875
St. Charles,Missouri,71800
Wilmington,Delaware,71675
San Marcos,Texas,71569
Harlingen,Texas,71510
Maple Grove,Minnesota,71288
Dothan,Alabama,71258
Lafayette,Indiana,71216
Mount Vernon,New York,71168
Camden,New Jersey,71100
Tulare,California,71092
Maricopa,Arizona,71022
St. Cloud,Minnesota,71013
North Richland Hills,Texas,70658
St. Joseph,Missouri,70634
Eau Claire,Wisconsin,70542
Eastvale,California,70510
Waukesha,Wisconsin,70446
Bayonne,New Jersey,70300
Conway,Arkansas,69580
Gaithersburg,Maryland,69563
East Orange,New Jersey,69556
Camarillo,California,69514
Shawnee,Kansas,69417
Grand Junction,Colorado,69412
Canton,Ohio,69197
Walnut Creek,California,69152
Dublin,California,69128
Portland,Maine,69104
Passaic,New Jersey,68903
Baldwin Park,California,68806
Decatur,Illinois,68670
Yuba City,California,68666
Schenectady,New York,68544
Ocala,Florida,68426
Caldwell,Idaho,68336
Jackson,Tennessee,68264
Commerce City,Colorado,68245
Weston,Florida,68181
Madera,California,68079
Idaho Falls,Idaho,68001
Redondo Beach,California,67749
Lodi,California,67679
Gary,Indiana,67652
Delray Beach,Florida,67536
Haverhill,Massachusetts,67415
Eagan,Minnesota,67396
Rockville,Maryland,67297
Alpharetta,Georgia,67056
Albany,Georgia,66877
Rowlett,Texas,66813
Waterloo,Iowa,66606
St. Cloud,Florida,66448
Novi,Michigan,66314
Greenwood,Indiana,66296
Oshkosh,Wisconsin,66184
Yorba Linda,California,66147
Janesville,Wisconsin,66102
Port Orange,Florida,65966
Palo Alto,California,65882
Davis,California,65832
Victoria,Texas,65800
Ames,Iowa,65686
Union City,California,65414
Sanford,Florida,65394
Lorain,Ohio,65337
Pflugerville,Texas,65301
Cheyenne,Wyoming,65168
Malden,Massachusetts,65133
Brentwood,California,65126
Sammamish,Washington,65116
Muncie,Indiana,65081
Skokie,Illinois,64937
Palatine,Illinois,64869
Burnsville,Minnesota,64772
Huntersville,North Carolina,64688
North Little Rock,Arkansas,64531
Waltham,Massachusetts,64477
Union City,New Jersey,64462
Bellevue,Nebraska,63922
Richland,Washington,63757
Casa Grande,Arizona,63743
Hendersonville,Tennessee,63618
Utica,New York,63607
Moore,Oklahoma,63470
Coon Rapids,Minnesota,63377
Kenner,Louisiana,63333
Lynwood,California,63234
South San Francisco,California,63123
Hamilton,Ohio,62997
Laguna Niguel,California,62899
Porterville,California,62876
Marietta,Georgia,62769
Parker,Colorado,62743
Bossier City,Louisiana,62738
Kyle,Texas,62548
Council Bluffs,Iowa,62399
San Clemente,California,62313
Lakewood,Washington,62303
Millcreek,Utah,62205
Eden Prairie,Minnesota,62166
Chapel Hill,North Carolina,62043
Pontiac,Michigan,61689
Wellington,Florida,61634
Bristol,Connecticut,61601
Santa Cruz,California,61501
Shoreline,Washington,61353
Jupiter,Florida,61291
White Plains,New York,61288
Taylor,Michigan,61241
Palm Beach Gardens,Florida,61146
Woodland,California,61123
Corvallis,Oregon,61087
Springfield,Oregon,61085
Wylie,Texas,61078
La Habra,California,60991
Dearborn Heights,Michigan,60872
Madison,Alabama,60854
Encinitas,California,60841
Vineland,New Jersey,60797
Stonecrest,Georgia,60677
Blue Springs,Missouri,60539
La Mesa,California,60537
Great Falls,Montana,60422
Taunton,Massachusetts,60412
Owensboro,Kentucky,60140
Meriden,Connecticut,60111
Herriman,Utah,60049
Burlington,North Carolina,60032
Montebello,California,60015
Hanford,California,59938
Kokomo,Indiana,59890
Euless,Texas,59686
San Rafael,California,59555
Santee,California,59478
Bentonville,Arkansas,59471
St. Peters,Missouri,59413
Kannapolis,North Carolina,59321
Lake Havasu City,Arizona,59257
Pico Rivera,California,59189
Weymouth Town,Massachusetts,59114
Apopka,Florida,59113
Youngstown,Ohio,59108
North Miami,Florida,59008
Grand Forks,North Dakota,58921
Dubuque,Iowa,58877
West Allis,Wisconsin,58874
Petaluma,California,58800
Medford,Massachusetts,58744
Casper,Wyoming,58720
Margate,Florida,58593
Lenexa,Kansas,58536
Terre Haute,Indiana,58502
Little Elm,Texas,58496
Beaumont,California,58463
Marana,Arizona,58430
Gardena,California,58377
Lacey,Washington,58326
Decatur,Alabama,58321
Gilroy,California,58250
Hempstead,New York,58225
Midwest City,Oklahoma,58086
Springfield,Ohio,58082
Pocatello,Idaho,58064
Carson,Nevada,58036
Des Plaines,Illinois,58010
Revere,Massachusetts,57954
Brookhaven,Georgia,57945
Monterey Park,California,57877
Westfield,Indiana,57746
Coconut Creek,Florida,57694
Spring Hill,Tennessee,57637
Sarasota,Florida,57602
St. Clair Shores,Michigan,57548
Royal Oak,Michigan,57452
Smyrna,Tennessee,57418
Bozeman,Montana,57305
Cupertino,California,57285
Bowie,Maryland,57254
Lancaster,Pennsylvania,57153
Winter Haven,Florida,57109
Taylorsville,Utah,57098
Bradenton,Florida,57076
Orland Park,Illinois,57074
Albany,Oregon,57053
Hoboken,New Jersey,57010
Eagle Mountain,Utah,56932
Coeur d'Alene,Idaho,56894
Kettering,Ohio,56876
Southaven,Mississippi,56851
Kingsport,Tennessee,56704
Texas City,Texas,56609
Smyrna,Georgia,56566
Bonita Springs,Florida,56229
Highland,California,56202
Bartlett,Tennessee,56030
New Brunswick,New Jersey,55846
West Sacramento,California,55842
DeSoto,Texas,55740
Oak Lawn,Illinois,55734
Olympia,Washington,55733
Tigard,Oregon,55590
Port Arthur,Texas,55547
Fountain Valley,California,55468
San Jacinto,California,55440
Apple Valley,Minnesota,55336
Logan,Utah,55250
Perth Amboy,New Jersey,55249
National City,California,55236
Burleson,Texas,55220
Anderson,Indiana,55199
Valdosta,Georgia,55025
Twin Falls,Idaho,54943
Chicopee,Massachusetts,54838
West Haven,Connecticut,54790
Plainfield,New Jersey,54670
Lincoln,California,54538
Berwyn,Illinois,54414
Wake Forest,North Carolina,54337
Mount Prospect,Illinois,54298
Rocky Mount,North Carolina,54245
Arcadia,California,54157
Peabody,Massachusetts,54056
Kentwood,Michigan,53987
Yucaipa,California,53947
Tinley Park,Illinois,53886
Pensacola,Florida,53724
Mooresville,North Carolina,53721
Manhattan,Kansas,53682
Elkhart,Indiana,53484
Pinellas Park,Florida,53456
Methuen Town,Massachusetts,53455
Colton,California,53357
Edina,Minnesota,53348
Galveston,Texas,53237
Elyria,Ohio,53117
Joplin,Missouri,53095
Wheaton,Illinois,52938
Rockwall,Texas,52918
Grand Island,Nebraska,52622
Normal,Illinois,52618
Saratoga Springs,Utah,52532
Minnetonka,Minnesota,52463
Cathedral City,California,52356
Placentia,California,52192
Battle Creek,Michigan,52175
Oak Park,Illinois,52055
Diamond Bar,California,52041
Palm Desert,California,51951
Huntington Park,California,51942
Summerville,South Carolina,51884
Novato,California,51722
Dunwoody,Georgia,51713
Columbus,Indiana,51522
Delano,California,51500
Middletown,Ohio,51478
La Crosse,Wisconsin,51327
Collierville,Tennessee,51317
Jeffersonville,Indiana,51235
Florissant,Missouri,51128
Harrisonburg,Virginia,51082
Paramount,California,51072
Newark,Ohio,51046
Grapevine,Texas,50928
Watsonville,California,50867
Mishawaka,Indiana,50842
West New York,New Jersey,50754
Cuyahoga Falls,Ohio,50742
Burien,Washington,50730
Troy,New York,50607
Enid,Oklahoma,50577
Milford city,Connecticut,50421
Gallatin,Tennessee,50355
Everett,Massachusetts,50318
Aliso Viejo,California,50263
Bothell,Washington,50213
Hoffman Estates,Illinois,50179
Prescott Valley,Arizona,50045
Harrisburg,Pennsylvania,50012
Glendora,California,49934
Barnstable Town,Massachusetts,49709
Downers Grove,Illinois,49706
St. Louis Park,Minnesota,49697
Sheboygan,Wisconsin,49686
Titusville,Florida,49680
Draper,Utah,49602
Murray,Utah,49553
Stillwater,Oklahoma,49525
Fort Pierce,Florida,49374
Lakewood,Ohio,49337
Leesburg,Virginia,49312
Rosemead,California,49305
Portage,Michigan,49302
Ocoee,Florida,49261
Goose Creek,South Carolina,49249
San Luis Obispo,California,49244
Lawrence,Indiana,49235
Chesterfield,Missouri,49166
Cleveland,Tennessee,49086
Dublin,Ohio,48923
Cypress,California,48782
Covina,California,48728
Clermont,Florida,48621
Los Banos,California,48553
Huntsville,Texas,48552
East Lansing,Michigan,48528
Brea,California,48479
Hattiesburg,Mississippi,48414
Cedar Hill,Texas,48411
Ceres,California,48397
Bedford,Texas,48370
Coral Gables,Florida,48353
Oro Valley,Arizona,48311
Azusa,California,48272
Biloxi,Mississippi,48235
Euclid,Ohio,48212
Lebanon,Tennessee,48112
Poway,California,48051
Middletown,Connecticut,47984
Wilson,North Carolina,47833
Prescott,Arizona,47757
Mansfield,Ohio,47711
Niagara Falls,New York,47599
Wentzville,Missouri,47497
Sherman,Texas,47473
Plainfield,Illinois,47448
Columbia,Tennessee,47445
Minot,North Dakota,47373
Winter Garden,Florida,47294
Gainesville,Georgia,47265
Waxahachie,Texas,47201
Beavercreek,Ohio,47193
Shakopee,Minnesota,47158
Roswell,New Mexico,47109
Wauwatosa,Wisconsin,47038
Olive Branch,Mississippi,47029
Newark,California,46929
Mentor,Ohio,46929
Glenview,Illinois,46904
East Providence,Rhode Island,46900
Charleston,West Virginia,46838
Cerritos,California,46797
Urbandale,Iowa,46729
Binghamton,New York,46727
Roseville,Michigan,46666
Attleboro,Massachusetts,46654
Monroe,Louisiana,46616
Keller,Texas,46316
Holly Springs,North Carolina,46271
Farmington,New Mexico,46237
Rancho Santa Margarita,California,46182
Salina,Kansas,45792
Oakley,California,45761
Mankato,Minnesota,45742
Hackensack,New Jersey,45736
Spanish Fork,Utah,45557
Strongsville,Ohio,45511
La Mirada,California,45505
Sayreville,New Jersey,45496
Blacksburg,Virginia,45485
The Colony,Texas,45471
Bremerton,Washington,45450
Elmhurst,Illinois,45336
Huntington,West Virginia,45325
Haltom City,Texas,45290
Brentwood,Tennessee,45265
Altamonte Springs,Florida,45257
Palm Springs,California,45218
Moorhead,Minnesota,45202
Delaware,Ohio,45158
Charlottesville,Virginia,44983
Newnan,Georgia,44940
York,Pennsylvania,44867
Riverton,Utah,44854
West Lafayette,Indiana,44829
Post Falls,Idaho,44798
North Lauderdale,Florida,44784
Salem,Massachusetts,44744
Hollister,California,44658
Concord,New Hampshire,44629
Rohnert Park,California,44546
Burlington,Vermont,44528
Morgan Hill,California,44478
Littleton,Colorado,44451
Fairfield,Ohio,44447
Sierra Vista,Arizona,44431
Hickory,North Carolina,44415
Greer,South Carolina,44387
Fond du Lac,Wisconsin,44300
Ormond Beach,Florida,44277
Wilkes-Barre,Pennsylvania,44254
Bountiful,Utah,44144
Oakland Park,Florida,44105
Greenacres,Florida,44103
Linden,New Jersey,43950
Cleveland Heights,Ohio,43908
Lynnwood,Washington,43867
Fuquay-Varina,North Carolina,43817
Lombard,Illinois,43779
El Centro,California,43772
Cutler Bay,Florida,43762
Freeport,New York,43756
Leominster,Massachusetts,43627
Coachella,California,43590
Hagerstown,Maryland,43553
Alexandria,Louisiana,43466
Lake Worth Beach,Florida,43346
Celina,Texas,43317
Huber Heights,Ohio,43313
Bullhead City,Arizona,43302
Schertz,Texas,43239
Saginaw,Michigan,43185
Woonsocket,Rhode Island,43135
Pittsfield,Massachusetts,43076
Weslaco,Texas,43053
Lompoc,California,43045
DeLand,Florida,43009
Danville,California,42999
Mount Juliet,Tennessee,42912
Indian Trail,North Carolina,42854
North Miami Beach,Florida,42789
Altoona,Pennsylvania,42788
Grove City,Ohio,42782
Sumter,South Carolina,42766
Edmonds,Washington,42701
Manassas,Virginia,42696
Midland,Michigan,42663
Fulshear,Texas,42616
Jefferson City,Missouri,42552
Buffalo Grove,Illinois,42482
Brighton,Colorado,42477
Florence,Alabama,42437
Beverly,Massachusetts,42318
Marion,Iowa,42213
Puyallup,Washington,42179
Shelton,Connecticut,42144
Peachtree Corners,Georgia,42136
Cottage Grove,Minnesota,42056
Moline,Illinois,41965
Brookfield,Wisconsin,41884
Kiryas Joel,New York,41857
Danville,Virginia,41837
Campbell,California,41700
Prosper,Texas,41660
Woburn,Massachusetts,41647
Fitchburg,Massachusetts,41579
Hallandale Beach,Florida,41547
Lancaster,Ohio,41422
Coppell,Texas,41404
Milton,Georgia,41383
Midlothian,Texas,41352
San Bruno,California,41327
Oviedo,Florida,41231
Reynoldsburg,Ohio,41220
Marlborough,Massachusetts,41179
Owasso,Oklahoma,41162
Apache Junction,Arizona,41153
Rosenberg,Texas,41104
Covington,Kentucky,40972
Romeoville,Illinois,40955
Crystal Lake,Illinois,40861
Friendswood,Texas,40826
Cedar Falls,Iowa,40737
Belleville,Illinois,40726
State College,Pennsylvania,40687
Florence,South Carolina,40609
Plant City,Florida,40571
Annapolis,Maryland,40552
Lake Stevens,Washington,40521
Westfield,Massachusetts,40509
Cape Girardeau,Missouri,40508
West Fargo,North Dakota,40400
Windsor,Colorado,40349
Amherst Town,Massachusetts,40277
Germantown,Tennessee,40267
New Berlin,Wisconsin,40260
Lancaster,Texas,40215
DeKalb,Illinois,40211
Peachtree City,Georgia,40193
Findlay,Ohio,40139
Valley Stream,New York,40007
Bartlett,Illinois,39992
Rancho Palos Verdes,California,39980
Rexburg,Idaho,39975
Wausau,Wisconsin,39968
Maplewood,Minnesota,39958
Cedar City,Utah,39942
Lake Oswego,Oregon,39924
Dover,Delaware,39894
Norwich,Connecticut,39881
Bettendorf,Iowa,39858
Lathrop,California,39857
Fort Lee,New Jersey,39700
Menomonee Falls,Wisconsin,39700
Myrtle Beach,South Carolina,39697
Hutchinson,Kansas,39662
La Vergne,Tennessee,39597
Royal Palm Beach,Florida,39489
Georgetown,Kentucky,39462
Hobbs,New Mexico,39386
Kearny,New Jersey,39370
Prattville,Alabama,39318
Hurst,Texas,39304
Tooele,Utah,39263
Grants Pass,Oregon,39149
Pine Bluff,Arkansas,39123
La Quinta,California,39081
Douglasville,Georgia,39049
Culver City,California,39041
Spartanburg,South Carolina,39040
Issaquah,Washington,38977
Carol Stream,Illinois,38966
Winter Springs,Florida,38941
Duncanville,Texas,38883
Stanton,California,38815
Quincy,Illinois,38803
Hutto,Texas,38765
Warren,Ohio,38751
Aventura,Florida,38741
