---
description: Chinese family name (姓), in simplified characters. Chinese writes the family name FIRST — 王小明 is Mr Wang, not Mr Ming — and joins it straight to the given name with NO space. The weights are measured national shares rather than a decay curve: Chinese surnames are among the most concentrated in this pack, with 王 李 张 刘 陈 alone covering roughly a third of the country and the top hundred about 85%. A woman does NOT take her husband's surname on marriage and Chinese surnames do not inflect for gender, which is why there is no person/female/lastName.txt beside this file. The last five entries are the compound surnames (复姓); they are genuinely rare and weighted as such.
locale: zh-cn
weighted: true
---
王,79400
李,79100
张,70700
刘,53800
陈,45300
杨,30800
黄,22900
赵,21300
吴,20500
周,20200
徐,16600
孙,15400
马,13200
胡,13100
朱,12600
高,12100
林,11800
何,11700
郭,11500
罗,8600
梁,8400
宋,8100
郑,7800
谢,7200
韩,6800
唐,6500
冯,6400
于,6200
邓,6200
曹,5700
许,5400
曾,5000
彭,4900
吕,4700
苏,4700
蔡,4600
魏,4300
叶,4200
董,4200
丁,4200
肖,4200
余,4100
杜,4000
田,3800
沈,3800
任,3800
姜,3700
范,3600
蒋,3500
石,3500
姚,3500
袁,3500
潘,3400
谭,3400
廖,3400
熊,3200
陆,3200
卢,3200
程,3100
金,3000
钟,3000
方,2900
侯,2900
白,2900
崔,2800
汪,2800
贾,2800
康,2800
邱,2700
毛,2700
秦,2600
韦,2600
江,2600
尹,2600
夏,2600
史,2500
顾,2500
邹,2500
傅,2500
孟,2400
薛,2400
闫,2400
陶,2400
龙,2400
邵,2400
万,2400
段,2300
雷,2300
孔,2300
黎,2200
钱,2200
严,2200
郝,2200
武,1800
戴,1800
贺,1800
常,1800
乔,1800
赖,1800
龚,1700
汤,1700
易,1600
覃,1600
文,1500
施,1500
洪,1500
向,1500
翟,1400
安,1400
颜,1400
倪,1300
邢,1300
章,1300
莫,1300
温,1250
牛,1200
焦,1200
阎,1200
俞,1150
葛,1100
柳,1100
关,1080
祝,1050
齐,1050
路,1000
岳,1000
甘,980
霍,960
谷,940
樊,920
苗,900
华,900
庞,880
尚,850
米,820
时,800
全,780
蓝,760
农,740
隋,720
殷,700
纪,700
屈,680
舒,660
童,650
项,640
祁,620
桂,600
成,600
宁,600
柯,580
阮,550
裴,550
柴,500
骆,500
曲,500
卫,450
游,450
席,420
池,400
阳,400
古,400
查,350
房,350
边,350
乐,340
卓,330
屠,300
仇,300
缪,300
佟,280
卞,260
欧阳,220
上官,40
司马,30
诸葛,25
慕容,20
