---
description: Vietnamese female given name (tên). In a Vietnamese full name this comes LAST: Trần Thị Mai is addressed as Mai. Vietnamese given names are largely unisex, so this list deliberately OVERLAPS with the other gender's: Anh, Minh, Ngọc, Thanh and Xuân are all carried by men and women alike. What marks gender in a Vietnamese name is the MIDDLE name — Văn for men, Thị for women — not the given name, so a config that needs a gendered name must draw the middle name too.
weighted: true
---
Anh,1000000
Ánh,933032
Bích,895958
Chi,870550
Cúc,851339
Dung,835958
Duyên,823171
Đào,812252
Hà,802741
Hạnh,794328
Hằng,786793
Hiền,779977
Hoa,773758
Hồng,768045
Huệ,762765
Hương,757858
Huyền,753277
Kim,748984
Lan,744945
Liên,741134
Linh,737527
Loan,734104
Ly,730848
Mai,727744
Mỹ,724779
Nga,721942
Ngân,719223
Ngọc,716612
Nguyệt,714101
Nhàn,711685
Nhi,709355
Nhung,707106
Oanh,704934
Phương,702832
Quyên,700798
Quỳnh,698827
Sương,696915
Tâm,695058
Thảo,693255
Thanh,691502
Thắm,689797
Thu,688137
Thủy,686519
Thúy,684943
Thư,683405
Tiên,681905
Trâm,680440
Trang,679009
Trinh,677610
Tuyết,676243
Uyên,674905
Vân,673596
Vy,672314
Xuân,671058
Yến,669828
Ái,668622
Bảo,667440
Cẩm,666280
Châu,665142
Diệp,664025
Diễm,662928
Diệu,661851
Đan,660793
Đoan,659753
Giang,658731
Giao,657726
Hải,656738
Hạ,655766
Hân,654809
Hiếu,653868
Hoài,652941
Hoàn,652028
Hường,651130
Khanh,650244
Khánh,649372
Khuê,648512
Lài,647665
Lệ,646830
Lý,646007
Mẫn,645195
Mi,644394
Miên,643603
Minh,642824
Mộng,642054
Nhã,641295
Như,640545
Ninh,639805
Phúc,639074
Phụng,638353
Quế,637640
Sen,636936
Tài,636240
Thái,635552
Thi,634873
Thoa,634202
Thùy,633538
Tịnh,632882
Trà,632233
Trúc,631591
Tú,630957
Tuệ,630329
Tuyền,629709
Vi,629095
Việt,628487
Vinh,627886
Xuyến,627291
Yên,626702
Ý,626120
Kiều,625543
Liễu,624972
Lụa,624406
Mây,623847
Nguyên,623292
Bình,622743
Cầm,622200
Dạ,621661
Đông,621128
Hiển,620600
Lam,620076
Lâm,619557
Nhài,619043
Nương,618534
Phượng,618029
Sâm,617529
Thắng,617033
Thục,616542
